type,source_url,local_path,bytes,status
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b384c30.jpg,assets/migrated/images/94d650241bd0_5ced78b384c30.jpg,78012,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b39b187.jpg,assets/migrated/images/b2e1a01be82f_5ced78b39b187.jpg,145026,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b39b187.jpg,assets/migrated/images/4006c92698a6_5ced78b39b187.jpg,75866,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b3b3457.jpg,assets/migrated/images/d38c1b0672af_5ced78b3b3457.jpg,200102,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b3b3457.jpg,assets/migrated/images/f766cc734540_5ced78b3b3457.jpg,91358,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b3cdcb2.jpg,assets/migrated/images/2578917f81ed_5ced78b3cdcb2.jpg,90098,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b3cdcb2.jpg,assets/migrated/images/9766111ded4f_5ced78b3cdcb2.jpg,58367,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b3eda54.jpg,assets/migrated/images/855fc90acce2_5ced78b3eda54.jpg,144695,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b3eda54.jpg,assets/migrated/images/ab87e923f21f_5ced78b3eda54.jpg,87079,200
asset,https://www.ochodnica.sk/img/galleries/28/big/5ced78b4140ba.jpg,assets/migrated/images/565a5ba0443d_5ced78b4140ba.jpg,201581,200
asset,https://www.ochodnica.sk/img/galleries/28/small/5ced78b4140ba.jpg,assets/migrated/images/346f1ff4a477_5ced78b4140ba.jpg,99735,200
page,https://www.ochodnica.sk/sk/o-obci/historia.html,sk/o-obci/historia.html,68429,200
asset,https://www.ochodnica.sk/img/galleries/39/big/5cf9404cb0a57.jpg,assets/migrated/images/2674f93dce15_5cf9404cb0a57.jpg,170214,200
asset,https://www.ochodnica.sk/img/galleries/39/small/5cf9404cb0a57.jpg,assets/migrated/images/07d6368e6efd_5cf9404cb0a57.jpg,82045,200
asset,https://www.ochodnica.sk/img/galleries/39/big/5cf9404ce4ebf.jpg,assets/migrated/images/0ca2a134bd59_5cf9404ce4ebf.jpg,195244,200
asset,https://www.ochodnica.sk/img/galleries/39/small/5cf9404ce4ebf.jpg,assets/migrated/images/5b037366f6c4_5cf9404ce4ebf.jpg,89706,200
asset,https://www.ochodnica.sk/img/galleries/39/big/5cf9404d2bacc.jpg,assets/migrated/images/621346915596_5cf9404d2bacc.jpg,285269,200
asset,https://www.ochodnica.sk/img/galleries/39/small/5cf9404d2bacc.jpg,assets/migrated/images/47a1dd164e0a_5cf9404d2bacc.jpg,115999,200
asset,https://www.ochodnica.sk/img/galleries/39/big/5cf9404d617cb.jpg,assets/migrated/images/08bad01ad364_5cf9404d617cb.jpg,271218,200
asset,https://www.ochodnica.sk/img/galleries/39/small/5cf9404d617cb.jpg,assets/migrated/images/0c8a7737a0a6_5cf9404d617cb.jpg,117549,200
asset,https://www.ochodnica.sk/img/galleries/39/big/5cf9404d9fdb3.jpg,assets/migrated/images/782c9a1ffcf3_5cf9404d9fdb3.jpg,302386,200
asset,https://www.ochodnica.sk/img/galleries/39/small/5cf9404d9fdb3.jpg,assets/migrated/images/84c4ef290645_5cf9404d9fdb3.jpg,115817,200
asset,https://www.ochodnica.sk/img/galleries/39/big/5cf9404dd68b0.jpg,assets/migrated/images/aab28449b2df_5cf9404dd68b0.jpg,195991,200
asset,https://www.ochodnica.sk/img/galleries/39/small/5cf9404dd68b0.jpg,assets/migrated/images/1e8fada717f8_5cf9404dd68b0.jpg,88539,200
asset,https://www.ochodnica.sk/img/galleries/39/big/5cf9404e1698e.jpg,assets/migrated/images/966958380816_5cf9404e1698e.jpg,302549,200
asset,https://www.ochodnica.sk/img/galleries/39/small/5cf9404e1698e.jpg,assets/migrated/images/57d6c21ecda2_5cf9404e1698e.jpg,123886,200
asset,https://www.ochodnica.sk/img/galleries/39/big/5cf9404e4cfdb.jpg,assets/migrated/images/5fd8cc606745_5cf9404e4cfdb.jpg,281214,200
asset,https://www.ochodnica.sk/img/galleries/39/small/5cf9404e4cfdb.jpg,assets/migrated/images/e75d04b0aaba_5cf9404e4cfdb.jpg,122105,200
asset,https://www.ochodnica.sk/img/galleries/39/big/5cf9404e964aa.jpg,assets/migrated/images/69f69933edb0_5cf9404e964aa.jpg,318208,200
